Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
BMW,760LI,FULL-SIZE,6.0,12.0,A8,Z,18.7,11.5,15.5,18.0,356.0
FIAT,500L,STATION WAGON - SMALL,1.4,4.0,M6,X,9.3,7.1,8.3,34.0,194.0
BMW,440I XDRIVE CABRIOLET,SUBCOMPACT,3.0,6.0,AS8,Z,11.9,8.1,10.2,28.0,238.0
NISSAN,XTERRA 4WD,SUV - SMALL,4.0,6.0,A5,X,16.1,11.9,14.2,20.0,327.0
FIAT,500X AWD,SUV - SMALL,2.4,4.0,A9,X,11.0,7.9,9.6,29.0,224.0
GMC,CANYON,PICKUP TRUCK - SMALL,2.8,4.0,A6,D,10.8,7.9,9.5,30.0,255.0
MERCEDES-BENZ,E 63 AMG 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8.0,AS7,Z,15.5,11.0,13.5,21.0,500.0
RAM,1500,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,13.9,9.5,11.9,24.0,274.0
DODGE,CHALLENGER (MDS),MID-SIZE,6.4,8.0,A8,Z,15.8,9.6,13.0,22.0,304.0
TOYOTA,YARIS (SIL),COMPACT,1.5,4.0,M6,X,7.6,5.7,6.7,42.0,157.0
FORD,TRANSIT CONNECT VAN FFV,SPECIAL PURPOSE VEHICLE,2.0,4.0,AS8,X,9.8,8.8,9.3,30.0,219.0
HYUNDAI,SANTA FE SPORT 4WD,SUV - SMALL,2.0,4.0,A6,X,12.9,9.7,11.5,25.0,264.0
JEEP,WRANGLER JL UNLIMITED 4X4,SUV - SMALL,2.0,4.0,A8,X,10.9,10.0,10.5,27.0,245.0
BMW,M850I XDRIVE COUPE,SUBCOMPACT,4.4,8.0,AS8,Z,13.3,9.2,11.5,25.0,269.0
BMW,ALPINA B7 XDRIVE LWB,FULL-SIZE,4.4,8.0,AS8,Z,15.2,9.8,12.8,22.0,294.0
KIA,SPORTAGE,SUV - SMALL,2.4,4.0,M6,X,12.9,9.2,11.3,25.0,261.0
KIA,SORENTO AWD,SUV - SMALL,3.3,6.0,AS6,X,13.4,10.0,11.8,24.0,271.0
VOLKSWAGEN,TOUAREG,SUV - STANDARD,3.6,6.0,AS8,Z,14.1,10.4,12.4,23.0,292.0
MERCEDES-BENZ,CL 550 4MATIC,COMPACT,4.7,8.0,AS7,Z,15.4,10.4,13.2,21.0,304.0
HONDA,ACCORD,FULL-SIZE,2.0,4.0,M6,X,10.7,7.3,9.2,31.0,214.0
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,D,11.9,9.4,10.8,26.0,290.0
CADILLAC,ATS,COMPACT,2.0,4.0,AS6,Z,11.1,7.9,9.7,29.0,223.0
FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4.0,A6,X,9.7,7.4,8.7,32.0,202.0
FORD,F-150 4X4 XL/XLT,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,D,11.3,8.5,10.0,28.0,270.0
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8.0,AS6,X,18.5,14.2,16.6,17.0,382.0
AUDI,A8L QUATTRO,FULL-SIZE,6.3,12.0,AS8,Z,17.8,10.8,14.6,19.0,344.0
CADILLAC,CTS-V,MID-SIZE,6.2,8.0,AS8,Z,17.1,11.0,14.3,20.0,337.0
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6.0,M7,Z,12.6,8.9,11.0,26.0,253.0
MERCEDES-BENZ,E 450 4MATIC CABRIOLET,SUBCOMPACT,3.0,6.0,A9,Z,12.7,10.1,11.6,24.0,271.0
MINI,COOPER S CONVERTIBLE,MINICOMPACT,1.6,4.0,AS6,Z,9.2,6.8,8.1,35.0,186.0
HONDA,ACCORD,FULL-SIZE,1.5,4.0,AV,X,7.9,6.3,7.2,39.0,168.0
MINI,JOHN COOPER WORKS 3 DOOR,SUBCOMPACT,2.0,4.0,M6,Z,10.2,7.3,8.9,32.0,210.0
LAND ROVER,RANGE ROVER SPORT SVR,SUV - STANDARD,5.0,8.0,AS8,Z,16.2,12.0,14.3,20.0,336.0
HYUNDAI,ELANTRA,MID-SIZE,1.6,4.0,AM7,X,8.9,7.0,8.1,35.0,189.0
SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4.0,AV,X,9.9,7.8,9.0,31.0,207.0
LINCOLN,MKT LIVERY AWD,SPECIAL PURPOSE VEHICLE,3.7,6.0,A6,X,14.1,10.0,12.2,23.0,281.0
PORSCHE,911 TARGA 4S,MINICOMPACT,3.0,6.0,M7,Z,12.2,8.5,10.5,27.0,246.0
INFINITI,QX70 AWD,SUV - SMALL,3.7,6.0,AS7,Z,14.5,10.7,12.8,22.0,294.0
DODGE,DART FFV,MID-SIZE,2.0,4.0,A6,E,13.3,9.3,11.5,25.0,187.0
BMW,340I,COMPACT,3.0,6.0,M6,Z,11.6,7.8,9.9,29.0,231.0
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,6.2,8.0,A8,Z,16.0,11.7,14.1,20.0,330.0
MASERATI,GHIBLI,MID-SIZE,3.0,6.0,AS8,Z,15.2,9.6,12.7,22.0,292.0
BMW,M6 GRAN COUPE,COMPACT,4.4,8.0,M6,Z,16.1,10.8,13.7,21.0,315.0
MITSUBISHI,RVR 4WD,SUV - SMALL,2.4,4.0,AV6,X,10.3,8.3,9.4,30.0,219.0
AUDI,Q5 HYBRID QUATTRO,SUV - SMALL,2.0,4.0,AS8,Z,9.8,7.9,8.9,32.0,209.0
MERCEDES-BENZ,SL 63 AMG,TWO-SEATER,5.5,8.0,AS7,Z,14.8,10.2,12.7,22.0,292.0
BENTLEY,MULSANNE,MID-SIZE,6.8,8.0,AS8,Z,21.3,12.8,17.5,16.0,407.0
CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4.0,A6,E,16.3,11.8,14.2,20.0,234.0
AUDI,A4 ULTRA,COMPACT,2.0,4.0,AM7,Z,8.6,6.4,7.6,37.0,177.0
TOYOTA,RAV4,SUV - SMALL,2.5,4.0,AS6,X,10.0,7.6,8.9,32.0,205.0
CHRYSLER,300 FFV,FULL-SIZE,3.6,6.0,A8,X,12.4,7.7,10.3,27.0,237.0
CHRYSLER,300,FULL-SIZE,3.6,6.0,A8,X,12.4,7.8,10.3,27.0,242.0
FORD,TRANSIT CONNECT VAN,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.0,8.8,10.6,27.0,247.0
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.0,4.0,M6,X,8.0,5.8,7.0,40.0,165.0
AUDI,RS 3,SUBCOMPACT,2.5,5.0,AM7,Z,12.4,8.4,10.6,27.0,247.0
MERCEDES-BENZ,E 63 AMG S 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8.0,AS7,Z,15.2,11.0,13.3,21.0,306.0
CHEVROLET,SILVERADO 4WD TRAIL BOSS,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,15.3,11.8,13.7,21.0,320.0
KIA,SPORTAGE AWD,SUV - SMALL,2.0,4.0,AS6,X,12.6,9.7,11.3,25.0,261.0
VOLVO,XC70 T5 AWD,SUV - SMALL,2.5,5.0,AS6,X,12.5,9.2,11.0,26.0,254.0
GMC,CANYON,PICKUP TRUCK - SMALL,3.6,6.0,A8,X,13.4,9.6,11.7,24.0,274.0
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,14.9,10.9,13.1,22.0,307.0
MINI,COOPER S COUPE,TWO-SEATER,1.6,4.0,A6,Z,9.3,7.0,8.3,34.0,191.0
SCION,IM,MID-SIZE,1.8,4.0,M6,X,8.6,6.6,7.7,37.0,180.0
TOYOTA,HIGHLANDER HYBRID AWD,SUV - STANDARD,3.5,6.0,AV6,X,8.1,8.5,8.3,34.0,193.0
DODGE,DART GT,MID-SIZE,2.4,4.0,M6,X,10.2,7.0,8.8,32.0,202.0
LEXUS,ES 350 F SPORT,MID-SIZE,3.5,6.0,AS8,X,10.9,7.5,9.4,30.0,219.0
NISSAN,XTERRA 4WD,SUV - SMALL,4.0,6.0,M6,X,15.2,11.9,13.7,21.0,315.0
NISSAN,ALTIMA SR/PLATINUM,MID-SIZE,2.0,4.0,AV,X,9.1,6.9,8.1,35.0,190.0
VOLKSWAGEN,GOLF SPORTWAGEN,STATION WAGON - SMALL,1.8,4.0,AS6,X,9.6,7.2,8.5,33.0,199.0
AUDI,A6 ALLROAD,MID-SIZE,3.0,6.0,AM7,Z,11.8,9.1,10.6,27.0,247.0
VOLVO,V60 POLESTAR,STATION WAGON - SMALL,3.0,6.0,AS6,X,13.0,9.0,11.2,25.0,259.0
SUBARU,BRZ,MINICOMPACT,2.0,4.0,AS6,Z,9.7,7.2,8.6,33.0,200.0
NISSAN,GT-R,SUBCOMPACT,3.8,6.0,AM6,Z,14.3,10.5,12.6,22.0,294.0
TOYOTA,COROLLA LE ECO (1-MODE),MID-SIZE,1.8,4.0,AV,X,7.7,5.6,6.8,42.0,160.0
GENESIS,G80 AWD,FULL-SIZE,3.3,6.0,AS8,Z,13.8,9.7,11.9,24.0,282.0
MERCEDES-BENZ,GLA 45 AMG 4MATIC,STATION WAGON - MID-SIZE,2.0,4.0,AS7,Z,10.5,8.1,9.4,30.0,216.0
TOYOTA,COROLLA,MID-SIZE,1.8,4.0,AV,X,8.2,6.2,7.3,39.0,168.0
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4.0,M6,X,9.7,7.0,8.5,33.0,196.0
TOYOTA,VENZA 4WD,SUV - SMALL,2.7,4.0,AS6,X,11.6,9.2,10.5,27.0,242.0
FORD,FLEX,SUV - STANDARD,3.5,6.0,AS6,X,13.3,9.5,11.6,24.0,267.0
BMW,M235I XDRIVE,SUBCOMPACT,3.0,6.0,AS8,Z,12.0,7.9,10.2,28.0,238.0
FORD,TRANSIT CONNECT VAN,SPECIAL PURPOSE VEHICLE,2.0,4.0,AS8,X,9.8,8.8,9.3,30.0,219.0
GMC,CANYON,PICKUP TRUCK - SMALL,3.6,6.0,A6,X,13.0,9.2,11.3,25.0,265.0
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12.0,AS8,Z,20.7,12.9,17.2,16.0,396.0
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,14.6,10.1,12.6,22.0,294.0
MERCEDES-BENZ,METRIS CARGO,SPECIAL PURPOSE VEHICLE,2.0,4.0,AS7,Z,10.8,9.5,10.2,28.0,233.0
FORD,EXPEDITION MAX 4X4,SUV - STANDARD,3.5,6.0,AS10,X,14.9,11.2,13.2,21.0,311.0
MINI,JOHN COOPER WORKS CLUBMAN ALL4,MID-SIZE,2.0,4.0,AS8,Z,10.2,7.5,9.0,31.0,211.0
KIA,FORTE,MID-SIZE,1.8,4.0,A6,X,9.6,6.6,8.3,34.0,191.0
LAND ROVER,RANGE ROVER SUPERCHARGED,SUV - STANDARD,5.0,8.0,AS8,Z,17.2,12.5,15.1,19.0,356.0
MAZDA,CX-5,SUV - SMALL,2.5,4.0,AS6,X,9.7,7.8,8.8,32.0,206.0
MAZDA,MAZDA6,MID-SIZE,2.5,4.0,AS6,X,8.8,6.2,7.6,37.0,175.0
CHEVROLET,CITY EXPRESS,SPECIAL PURPOSE VEHICLE,2.0,4.0,AV,X,9.8,8.8,9.3,30.0,218.0
FORD,GT,TWO-SEATER,3.5,6.0,AM7,Z,20.4,13.1,17.1,17.0,403.0
LAND ROVER,RANGE ROVER EVOQUE,SUV - SMALL,2.0,4.0,AS9,Z,11.3,7.9,9.7,29.0,223.0
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8.0,A6,E,21.5,14.6,18.4,15.0,294.0
GMC,ACADIA AWD,SUV - STANDARD,3.6,6.0,A6,X,16.1,10.8,13.7,21.0,323.0
GMC,YUKON 4WD,SUV - STANDARD,6.2,8.0,A10,Z,16.4,10.7,13.8,20.0,325.0
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4.0,M5,X,12.8,10.6,11.8,24.0,271.0
NISSAN,ROGUE AWD,SUV - SMALL,2.5,4.0,AV,X,9.5,7.4,8.5,33.0,196.0
MASERATI,QUATTROPORTE S,FULL-SIZE,3.0,6.0,AS8,Z,15.2,10.2,12.9,22.0,300.0
MINI,COOPER S COUPE,TWO-SEATER,1.6,4.0,M6,Z,9.1,6.7,8.0,35.0,184.0
HYUNDAI,EQUUS,FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.2,13.3,21.0,306.0
PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3.0,6.0,AM7,Z,10.8,8.4,9.7,29.0,228.0
VOLVO,XC60 T5,SUV - SMALL,2.0,4.0,AS8,X,10.3,7.6,9.1,31.0,213.0
CHRYSLER,PACIFICA,MINIVAN,3.6,6.0,A9,X,12.9,8.4,10.9,26.0,259.0
GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,22.2,15.2,19.0,15.0,317.0
MERCEDES-BENZ,C 350 4MATIC COUPE,SUBCOMPACT,3.5,6.0,AS7,Z,12.1,8.7,10.6,27.0,244.0
FORD,MUSTANG (PERFORMANCE PKG),SUBCOMPACT,2.3,4.0,AS10,X,11.8,8.4,10.3,27.0,242.0
GENESIS,G80 AWD,FULL-SIZE,5.0,8.0,AS8,Z,15.6,10.4,13.2,21.0,312.0
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.0,6.0,AM7,Z,10.8,8.3,9.7,29.0,227.0
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,MID-SIZE,2.0,4.0,AS8,Z,10.0,7.8,9.0,31.0,210.0
BMW,M240I CABRIOLET,SUBCOMPACT,3.0,6.0,AS8,Z,11.1,7.8,9.6,29.0,224.0
HYUNDAI,TUCSON 4WD,SUV - SMALL,2.4,4.0,A6,X,11.6,9.3,10.6,27.0,244.0
PORSCHE,911 CARRERA,MINICOMPACT,3.0,6.0,M7,Z,11.8,8.1,10.1,28.0,237.0
PORSCHE,911 TURBO S EXCLUSIVE CABRIOLET,MINICOMPACT,3.8,6.0,AM7,Z,14.3,10.9,12.7,22.0,297.0
ALFA ROMEO,GIULIA QUADRIFOGLIO,MID-SIZE,2.9,6.0,A8,Z,13.5,9.3,11.6,24.0,271.0
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.6,8.0,AS6,X,15.8,12.3,14.2,20.0,334.0
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8.0,A4,X,18.3,14.2,16.5,17.0,380.0
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A6,E,19.9,14.2,17.3,16.0,277.0
CADILLAC,CT6 AWD,FULL-SIZE,3.0,6.0,AS10,Z,13.1,9.1,11.3,25.0,267.0
CHEVROLET,TRAX,SUV - SMALL,1.4,4.0,AS6,X,9.4,7.1,8.4,34.0,193.0
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2.0,4.0,AV6,X,9.1,7.0,8.1,35.0,186.0
PORSCHE,PANAMERA TURBO EXECUTIVE,FULL-SIZE,4.8,8.0,AM7,Z,15.4,9.8,12.9,22.0,297.0
JAGUAR,F-TYPE COUPE,TWO-SEATER,3.0,6.0,AS8,Z,11.9,8.5,10.4,27.0,242.0
LEXUS,IS 350 AWD,COMPACT,3.5,6.0,AS6,Z,12.6,9.2,11.0,26.0,258.0
CHEVROLET,EQUINOX,SUV - SMALL,1.6,4.0,A6,D,8.5,6.0,7.4,38.0,199.0
LAND ROVER,RANGE ROVER SPORT SUPERCHARGED,SUV - STANDARD,5.0,8.0,AS8,Z,14.1,10.7,12.6,22.0,294.0
KIA,FORTE (GDI),MID-SIZE,2.0,4.0,AS6,X,9.4,7.0,8.3,34.0,198.0
CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4.0,A6,X,10.5,7.3,9.1,31.0,214.0
VOLVO,V90 T6 AWD,STATION WAGON - MID-SIZE,2.0,4.0,AS8,Z,11.1,7.3,9.4,30.0,219.0
BMW,435I XDRIVE COUPE,COMPACT,3.0,6.0,A8,Z,11.7,7.8,9.9,29.0,228.0
CADILLAC,CT6 AWD,FULL-SIZE,3.6,6.0,AS8,X,12.8,8.8,11.0,26.0,259.0
GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6.0,A6,E,19.3,14.3,17.1,17.0,274.0
MERCEDES-BENZ,AMG SL 63,TWO-SEATER,5.5,8.0,AS7,Z,14.7,9.5,12.4,23.0,298.0
BMW,X3 XDRIVE28D,SUV - SMALL,2.0,4.0,AS8,D,8.6,6.9,7.9,36.0,211.0
CHEVROLET,BLAZER AWD,SUV - SMALL,3.6,6.0,A9,X,12.7,9.5,11.3,25.0,265.0
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8.0,AS7,X,17.5,12.9,15.4,18.0,362.0
PORSCHE,BOXSTER,TWO-SEATER,2.7,6.0,M6,Z,11.5,7.9,9.9,29.0,232.0
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A10,X,14.3,10.6,12.7,22.0,298.0
JEEP,PATRIOT 4X4 TRAIL RATED,SUV - SMALL,2.4,4.0,AV,X,11.7,10.3,11.1,25.0,259.0
MERCEDES-BENZ,AMG C 63,COMPACT,4.0,8.0,A7,Z,13.4,9.6,11.7,24.0,274.0
BMW,M235I CABRIOLET,SUBCOMPACT,3.0,6.0,AS8,Z,11.6,7.7,9.9,29.0,232.0
CHEVROLET,CAMARO Z/28,COMPACT,6.2,8.0,M6,Z,18.1,12.3,15.5,18.0,357.0
MAZDA,CX-30 4WD (CYLINDER DEACTIVATION),SUV - SMALL,2.5,4.0,AS6,X,9.5,7.4,8.6,33.0,200.0
BMW,Z4 SDRIVE35I,TWO-SEATER,3.0,6.0,AM7,Z,13.7,10.1,12.1,23.0,278.0
CHEVROLET,MALIBU,MID-SIZE,1.5,4.0,AV,X,8.2,6.6,7.5,38.0,174.0
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,E,20.2,15.2,18.0,16.0,294.0
HYUNDAI,SONATA HYBRID,MID-SIZE,2.4,4.0,AS6,X,6.5,5.9,6.2,46.0,143.0
SUBARU,BRZ TS,MINICOMPACT,2.0,4.0,M6,Z,11.6,8.6,10.2,28.0,239.0
INFINITI,QX30,COMPACT,2.0,4.0,AM7,Z,9.7,7.1,8.5,33.0,200.0
KIA,SPORTAGE,SUV - SMALL,2.4,4.0,AS6,X,11.4,8.3,10.0,28.0,230.0
MASERATI,QUATTROPORTE GTS,FULL-SIZE,3.8,8.0,AS8,Z,17.5,10.7,14.5,19.0,334.0
MERCEDES-BENZ,AMG S 65 COUPE,COMPACT,6.0,12.0,AS7,Z,18.0,11.3,15.0,19.0,355.0
INFINITI,QX50 AWD,STATION WAGON - SMALL,3.7,6.0,AS7,Z,13.6,9.6,11.8,24.0,271.0
CADILLAC,ATS AWD,COMPACT,3.6,6.0,AS8,X,12.2,8.5,10.5,27.0,247.0
GMC,SAVANA 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8.0,A6,E,30.3,20.5,25.9,11.0,414.0
CHEVROLET,SILVERADO 4WD CUSTOM TRAIL BOSS,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,16.7,13.1,15.1,19.0,354.0
FORD,ESCAPE AWD,SUV - SMALL,1.5,4.0,AS6,X,11.2,8.4,9.9,29.0,232.0
PORSCHE,911 CARRERA 4,MINICOMPACT,3.0,6.0,AM7,Z,10.7,8.3,9.6,29.0,225.0
HYUNDAI,SANTA FE,SUV - SMALL,3.3,6.0,AS6,X,12.9,9.4,11.3,25.0,265.0
LEXUS,GS 200T F SPORT,MID-SIZE,2.0,4.0,AS8,Z,11.3,7.8,9.7,29.0,227.0
SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4.0,AV6,X,9.3,7.1,8.3,34.0,191.0
TOYOTA,GR SUPRA,TWO-SEATER,3.0,6.0,AS8,Z,9.9,7.7,8.9,32.0,208.0
VOLKSWAGEN,GOLF R,COMPACT,2.0,4.0,M6,Z,11.4,8.2,9.9,29.0,232.0
NISSAN,MICRA,COMPACT,1.6,4.0,A4,X,8.8,6.6,7.8,36.0,179.0
CHEVROLET,CAMARO,SUBCOMPACT,3.6,6.0,AS8,X,12.3,8.6,10.6,27.0,249.0
DODGE,CHALLENGER SRT,MID-SIZE,6.4,8.0,M6,Z,16.7,10.4,13.9,20.0,325.0
DODGE,CHALLENGER,MID-SIZE,3.6,6.0,A8,X,12.4,7.8,10.3,27.0,242.0
LEXUS,IS 350,COMPACT,3.5,6.0,AS8,Z,12.3,8.5,10.6,27.0,244.0
CHEVROLET,SPARK,SUBCOMPACT,1.4,4.0,M5,X,8.0,6.2,7.2,39.0,168.0
ACURA,RLX HYBRID,MID-SIZE,3.5,6.0,AM7,Z,8.2,7.8,8.1,35.0,190.0
BMW,535D XDRIVE,MID-SIZE,3.0,6.0,A8,D,9.2,6.4,7.9,36.0,213.0
FORD,F-150 FFV (LT TIRE PKG),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,E,20.2,14.0,17.4,16.0,288.0
KIA,FORTE,MID-SIZE,1.8,4.0,AS6,X,8.8,6.1,7.6,37.0,175.0
HYUNDAI,SONATA,FULL-SIZE,2.4,4.0,AS6,X,9.3,7.1,8.3,34.0,198.0
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,14.1,10.6,12.5,23.0,288.0
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,1.8,4.0,A6,X,9.8,7.3,8.7,32.0,200.0
JEEP,CHEROKEE,SUV - SMALL,2.4,4.0,A9,X,10.9,7.7,9.5,30.0,218.0
FORD,TRANSIT CONNECT VAN,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,11.3,8.2,9.9,29.0,228.0
GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,13.4,9.9,11.9,24.0,274.0
LEXUS,RC 350 AWD,SUBCOMPACT,3.5,6.0,AS6,Z,12.6,9.2,11.0,26.0,258.0
VOLKSWAGEN,GOLF GTI,COMPACT,2.0,4.0,AM6,X,9.5,7.2,8.5,33.0,198.0
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4.0,A6,X,12.0,7.6,10.0,28.0,230.0
MERCEDES-BENZ,GLC 300 4MATIC,SUV - SMALL,2.0,4.0,A9,Z,11.1,8.6,10.0,28.0,240.0
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6.0,A6,X,14.1,9.5,12.0,24.0,276.0
MERCEDES-BENZ,CLA 250 4MATIC,MINICOMPACT,2.0,4.0,AM7,Z,9.9,7.3,8.7,32.0,204.0
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4.0,M5,X,12.2,10.2,11.3,25.0,266.0
KIA,RIO,COMPACT,1.6,4.0,A6,X,8.7,6.3,7.6,37.0,175.0
AUDI,RS 3,SUBCOMPACT,2.5,5.0,AM7,Z,12.1,8.4,10.4,27.0,243.0
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.5,3.0,M6,Z,8.4,6.3,7.5,38.0,175.0
AUDI,Q5 HYBRID,SUV - SMALL,2.0,4.0,AS8,Z,9.9,8.3,9.2,31.0,212.0
TOYOTA,YARIS HATCHBACK,COMPACT,1.5,4.0,A4,X,7.9,6.8,7.4,38.0,173.0
PORSCHE,BOXSTER S,TWO-SEATER,3.4,6.0,AM7,Z,11.3,7.9,9.8,29.0,225.0
BMW,M3,COMPACT,3.0,6.0,M6,Z,13.7,9.1,11.7,24.0,273.0
HYUNDAI,VELOSTER N,COMPACT,2.0,4.0,M6,X,10.6,8.3,9.5,30.0,226.0
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12.0,AS8,Z,20.3,13.0,17.0,17.0,397.0
PORSCHE,911 TARGA 4S,MINICOMPACT,3.0,6.0,AM7,Z,11.1,8.6,10.0,28.0,233.0
BENTLEY,MULSANNE EWB,MID-SIZE,6.8,8.0,AS8,Z,22.2,13.6,18.3,15.0,430.0
ACURA,TLX SH-AWD,COMPACT,3.5,6.0,AS9,Z,11.2,7.5,9.6,29.0,221.0
BUICK,LACROSSE EASSIST,MID-SIZE,2.5,4.0,AS6,X,9.4,6.8,8.2,34.0,192.0
FORD,T-150 WAGON,VAN - PASSENGER,3.5,6.0,AS6,X,16.2,12.8,14.7,19.0,345.0
FORD,MUSTANG CONVERTIBLE (PERFORMANCE PKG),SUBCOMPACT,2.3,4.0,M6,X,12.1,9.1,10.7,26.0,252.0
FORD,FOCUS,COMPACT,1.0,3.0,AS6,X,8.5,6.2,7.5,38.0,176.0
NISSAN,MURANO AWD,STATION WAGON - MID-SIZE,3.5,6.0,AV7,X,11.2,8.4,9.9,29.0,232.0
ACURA,TLX SH-AWD A-SPEC,COMPACT,3.5,6.0,AS9,Z,12.0,8.2,10.3,27.0,240.0
GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,12.1,9.2,10.8,26.0,252.0
JAGUAR,F-TYPE CONVERTIBLE R-DYNAMIC,TWO-SEATER,3.0,6.0,AS8,Z,12.4,8.8,10.8,26.0,253.0
HONDA,HR-V AWD,STATION WAGON - SMALL,1.8,4.0,AV7,X,9.1,7.7,8.5,33.0,200.0
JAGUAR,XJ R-SPORT 3.0 AWD,FULL-SIZE,3.0,6.0,AS8,Z,14.0,9.0,11.8,24.0,276.0
ACURA,TSX,COMPACT,2.4,4.0,M6,Z,11.2,8.1,9.8,29.0,225.0
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6.0,A6,X,14.8,9.9,12.6,22.0,290.0
FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4.0,M5,X,8.5,6.9,7.8,36.0,183.0
FORD,ECOSPORT,SUV - SMALL,1.0,3.0,AS6,X,8.6,8.1,8.4,34.0,197.0
HONDA,ACCORD,MID-SIZE,2.4,4.0,AV,X,9.0,6.6,7.9,36.0,182.0
LAND ROVER,RANGE ROVER V8 5.0 SC,SUV - STANDARD,5.0,8.0,AS8,Z,18.0,12.2,15.4,18.0,354.0
CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4.0,AS6,Z,12.6,8.5,10.8,26.0,248.0
LAND ROVER,LR2,SUV - SMALL,2.0,4.0,AS6,Z,13.5,9.9,11.9,24.0,274.0
HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4.0,AV,X,7.7,6.0,6.9,41.0,162.0
BUICK,LACROSSE AWD FFV,MID-SIZE,3.6,6.0,AS6,X,13.8,9.0,11.7,24.0,274.0
HONDA,CIVIC,COMPACT,1.8,4.0,M5,X,8.6,6.6,7.7,37.0,177.0
HONDA,CIVIC COUPE SI,COMPACT,1.5,4.0,M6,Z,8.9,6.4,7.8,36.0,183.0
JAGUAR,F-TYPE S CONVERTIBLE,TWO-SEATER,3.0,6.0,AS8,Z,12.5,8.7,10.8,26.0,254.0
MITSUBISHI,RVR 4WD,SUV - SMALL,2.0,4.0,AV6,X,9.8,8.0,9.0,31.0,207.0
BMW,X5 XDRIVE50I,SUV - STANDARD,4.4,8.0,AS8,Z,15.6,11.3,13.7,21.0,320.0
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4.0,A6,X,11.5,8.3,10.1,28.0,237.0
HONDA,CR-V AWD,SUV - SMALL,2.4,4.0,A5,X,10.6,7.9,9.4,30.0,216.0
